Symbol,Sector,SM20,SM50,EPS TR,Price Change
CVS,Healthcare | Healthcare Plans | USA,1.56%,-4.77%,Ok,3.47%
D,Utilities | Utilities - Diversified | USA,-4.43%,-2.56%,Ok,-3.30%
TEVA,Healthcare | Drug Manufacturers - Specialty Generic | Israel,-7.09%,2.22%,Ok,-8.91%
UAA,Consumer Cyclical | Apparel Manufacturing | USA,-5.70%,4.49%,Perfect,-8.18%
VSH,Technology | Semiconductors | USA,-8.22%,-5.70%,Good,-12.20%
CME,Financial | Financial Data Stock Exchanges | USA,6.70%,8.55%,Ok,5.42%
MCFT,Consumer Cyclical | Recreational Vehicles | USA,17.58%,25.43%,Good,9.40%
EMR,Industrials | Specialty Industrial Machinery | USA,-6.04%,-8.56%,Ok,-5.69%
EQNR,Energy | Oil Gas Integrated | Norway,2.97%,-5.73%,Good,7.10%
YUM,Consumer Cyclical | Restaurants | USA,2.13%,1.99%,Bad,1.61%
CDW,Technology | Information Technology Services | USA,2.74%,6.87%,Ok,1.19%
ETN,Industrials | Specialty Industrial Machinery | Ireland,4.82%,5.60%,Ok,2.67%
COTY,Consumer Defensive | Household Personal Products | USA,3.85%,14.96%,Perfect,-1.84%
BXMT,Real Estate | REIT - Mortgage | USA,-1.98%,-0.69%,Good,-4.19%
CRNT,Technology | Communication Equipment | Israel,-9.46%,-5.19%,0.5,-11.93%
PAG,Consumer Cyclical | Auto Truck Dealerships | USA,10.20%,12.61%,Good,1.21%
COHR,Technology | Scientific Technical Instruments | USA,-0.96%,10.91%,Ok,-2.73%
BG,Consumer Defensive | Farm Products | USA,-0.31%,0.26%,Good,-0.78%
FOXA,Communication Services | Broadcasting | USA,7.57%,11.56%,Ok,4.38%
RDWR,Technology | Software - Infrastructure | Israel,-1.54%,1.27%,0.657,-7.08%
NYT,Communication Services | Publishing | USA,18.33%,20.19%,Perfect,12.04%
TTE,Energy | Oil Gas Integrated | France,-3.15%,-1.28%,Ok,-1.39%
UBER,Technology | Software - Application | USA,20.65%,31.32%,Perfect,5.53%
TRMB,Technology | Scientific Technical Instruments | USA,-0.90%,2.25%,Ok,-5.69%
PFGC,Consumer Defensive | Food Distribution | USA,-0.35%,0.17%,Good,-3.07%
CPRI,Consumer Cyclical | Apparel Manufacturing | United Kingdom,-21.59%,-16.03%,Perfect,-23.58%
REYN,Consumer Cyclical | Packaging Containers | USA,-6.99%,-9.31%,Ok,-4.91%
RITM,Real Estate | REIT - Mortgage | USA,4.34%,7.64%,Good,3.03%
BDC,Industrials | Electrical Equipment Parts | USA,11.23%,15.00%,Good,7.41%
SITC,Real Estate | REIT - Retail | USA,2.96%,2.89%,Bad,0.44%
EPC,Consumer Defensive | Household Personal Products | USA,4.92%,6.98%,Ok,3.42%
GPRE,Basic Materials | Specialty Chemicals | USA,13.13%,15.97%,Perfect,7.72%
CRTO,Communication Services | Advertising Agencies | France,17.40%,26.03%,Perfect,3.46%
PERI,Communication Services | Internet Content Information | Israel,-2.81%,8.38%,Perfect,-8.44%
CMRE,Industrials | Marine Shipping | Monaco,0.85%,6.61%,Ok,-2.50%
CRNC,Technology | Software - Application | USA,19.69%,38.28%,Perfect,2.08%
RSVR,Communication Services | Entertainment | USA,4.37%,11.28%,Perfect,-1.50%
FMAO,Financial | Banks - Regional | USA,5.11%,5.60%,Ok,-0.17%
MHH,Industrials | Staffing Employment Services | USA,-12.43%,-9.69%,Bad,-9.94%
RDCM,Communication Services | Telecom Services | Israel,-3.03%,0.15%,Bad,1.25%
PYPD,Healthcare | Biotechnology | Israel,-14.75%,-6.97%,Ok,-12.81%
