Symbol,Sector,SM20,SM50,EPS TR,Price Change
KO,Consumer Defensive | Beverages - Non-Alcoholic | USA,0.30%,-2.47%,Ok,-1.67%
TRP,Energy | Oil Gas Midstream | Canada,-1.72%,-0.07%,Ok,1.49%
ZTS,Healthcare | Drug Manufacturers - Specialty Generic | USA,-0.72%,4.76%,Ok,5.37%
MTLS,Technology | Software - Application | Belgium,0.25%,7.16%,Ok,-14.73%
TRTN,Industrials | Rental Leasing Services | Bermuda,2.38%,4.66%,Ok,-7.08%
MAR,Consumer Cyclical | Lodging | USA,2.28%,8.12%,Good,3.96%
ECL,Basic Materials | Specialty Chemicals | USA,-2.85%,-1.23%,Ok,7.11%
IPGP,Technology | Semiconductor Equipment Materials | USA,1.27%,10.66%,Good,11.56%
HRI,Industrials | Rental Leasing Services | USA,1.90%,10.15%,Bad,-7.48%
GTX,Consumer Cyclical | Auto Parts | Switzerland,5.59%,9.08%,Bad,-2.01%
LDOS,Technology | Information Technology Services | USA,3.11%,-1.64%,Ok,-5.42%
QSR,Consumer Cyclical | Restaurants | Canada,2.11%,3.31%,Good,-2.73%
USAC,Energy | Oil Gas Equipment Services | USA,1.84%,6.30%,Perfect,0.00%
GEO,Real Estate | REIT - Healthcare Facilities | USA,4.37%,6.38%,0.572,-16.23%
ENTG,Technology | Semiconductor Equipment Materials | USA,4.01%,13.75%,Bad,0.24%
CAE,Industrials | Aerospace Defense | Canada,2.72%,8.27%,Bad,5.04%
GFS,Technology | Semiconductors | USA,9.45%,11.75%,Perfect,8.44%
PKI,Healthcare | Diagnostics Research | USA,1.19%,0.17%,Good,-0.53%
HWM,Industrials | Specialty Industrial Machinery | USA,2.46%,4.28%,Ok,4.72%
TRU,Industrials | Consulting Services | USA,-0.83%,8.78%,Bad,-1.91%
WCC,Industrials | Industrial Distribution | USA,6.21%,15.08%,Good,8.20%
DAVA,Technology | Software - Infrastructure | United Kingdom,0.09%,8.19%,Perfect,-12.73%
FELE,Industrials | Specialty Industrial Machinery | USA,4.03%,9.93%,Ok,3.59%
BTU,Energy | Thermal Coal | USA,-4.26%,-6.23%,Good,13.33%
LCII,Consumer Cyclical | Recreational Vehicles | USA,3.98%,12.27%,Perfect,0.35%
SAFE,Real Estate | REIT - Diversified | USA,-3.54%,4.77%,Bad,-0.37%
UE,Real Estate | REIT - Diversified | USA,1.33%,5.46%,0.566,0.38%
TGH,Industrials | Rental Leasing Services | Bermuda,0.60%,5.96%,Good,-6.02%
EMBC,Healthcare | Medical Instruments Supplies | USA,8.51%,1.31%,Good,12.56%
AHH,Real Estate | REIT - Diversified | USA,1.54%,5.03%,Bad,6.57%
PAX,Financial | Asset Management | Cayman Islands,-0.79%,5.75%,Perfect,8.78%
UTL,Utilities | Utilities - Diversified | USA,-0.69%,-0.41%,Ok,-0.19%
ASC,Energy | Oil Gas Midstream | Bermuda,14.20%,14.71%,Good,9.69%
QIPT,Healthcare | Medical Devices | USA,7.38%,20.81%,Bad,-0.47%
SQNS,Technology | Semiconductors | France,-3.56%,-7.03%,0.538,-8.58%
REUN,Healthcare | Biotechnology | Canada,-1.80%,4.84%,Perfect,-3.47%
