Symbol,Sector,SM20,SM50,EPS TR,Price Change
KHC,Consumer Defensive | Packaged Foods | USA,-0.24%,-1.27%,Good,0.63%
TTD,Technology | Software - Application | USA,0.43%,4.20%,-0.154,32.81%
BIIB,Healthcare | Drug Manufacturers - General | USA,0.28%,1.16%,Ok,-3.49%
GLDD,Industrials | Engineering Construction | USA,0.01%,3.29%,0.412,-8.47%
SUN,Energy | Oil Gas Refining Marketing | USA,0.97%,5.49%,Perfect,0.30%
CIM,Real Estate | REIT - Mortgage | USA,0.13%,6.78%,Bad,-3.39%
GOLD,Basic Materials | Gold | Canada,-5.81%,-1.84%,Good,-3.59%
CHEF,Consumer Defensive | Food Distribution | USA,0.47%,4.72%,Perfect,0.64%
GNRC,Industrials | Specialty Industrial Machinery | USA,6.69%,18.15%,Ok,8.00%
ADI,Technology | Semiconductors | USA,5.56%,7.86%,Ok,7.47%
R,Industrials | Rental Leasing Services | USA,1.85%,8.47%,Perfect,3.17%
SFL,Industrials | Marine Shipping | Bermuda,1.79%,6.70%,Perfect,0.48%
HL,Basic Materials | Gold | USA,-7.06%,-2.73%,Perfect,-9.38%
ACRE,Real Estate | REIT - Mortgage | USA,-0.69%,3.86%,Ok,1.60%
LAD,Consumer Cyclical | Auto Truck Dealerships | USA,8.49%,21.09%,Ok,-8.24%
MLM,Basic Materials | Building Materials | USA,0.80%,1.51%,Ok,7.47%
PTN,Healthcare | Biotechnology | USA,-20.75%,-10.15%,Ok,-0.32%
OC,Industrials | Building Products Equipment | USA,8.94%,12.58%,Good,0.09%
ICL,Basic Materials | Agricultural Inputs | Israel,-3.46%,-1.52%,Perfect,-0.65%
RPRX,Healthcare | Biotechnology | USA,-1.36%,-4.17%,Bad,-0.82%
WAT,Healthcare | Diagnostics Research | USA,0.99%,0.09%,Ok,-0.71%
RBLX,Communication Services | Electronic Gaming Multimedia | USA,-2.81%,9.17%,Perfect,26.38%
WAB,Industrials | Railroads | USA,-0.20%,1.22%,Good,2.08%
TPG,Financial | Asset Management | USA,0.17%,3.80%,Good,6.24%
SITE,Industrials | Industrial Distribution | USA,6.84%,19.08%,Perfect,1.81%
CHH,Consumer Cyclical | Lodging | USA,1.55%,5.72%,Ok,3.40%
PSN,Industrials | Specialty Industrial Machinery | USA,4.24%,0.83%,Ok,-4.32%
TMHC,Consumer Cyclical | Residential Construction | USA,3.46%,10.60%,Good,1.75%
AVNT,Basic Materials | Specialty Chemicals | USA,-2.16%,5.11%,Ok,9.73%
NVMI,Technology | Semiconductor Equipment Materials | Israel,-2.06%,3.11%,Good,1.56%
SAH,Consumer Cyclical | Auto Truck Dealerships | USA,14.39%,20.31%,Ok,-1.06%
SABR,Technology | Information Technology Services | USA,-2.66%,5.01%,Bad,-19.38%
IDCC,Communication Services | Telecom Services | USA,6.23%,24.37%,Perfect,2.17%
DNUT,Consumer Defensive | Grocery Stores | USA,0.43%,-0.05%,Bad,6.78%
KRNT,Industrials | Specialty Industrial Machinery | Israel,5.15%,9.80%,Perfect,-9.25%
CLBT,Technology | Software - Infrastructure | Israel,1.26%,11.52%,0.25,13.90%
HCSG,Healthcare | Medical Care Facilities | USA,-4.36%,-2.71%,Bad,7.12%
WKME,Technology | Software - Application | Israel,6.00%,9.30%,Ok,5.77%
CEVA,Technology | Semiconductors | USA,3.07%,16.58%,Perfect,0.03%
KPTI,Healthcare | Biotechnology | USA,1.22%,-3.34%,0.514,10.24%
ESEA,Industrials | Marine Shipping | Greece,-3.35%,-1.26%,Bad,-5.60%
