Symbol,Sector,SM20,SM50,EPS TR,Price Change
WMT,Consumer Defensive | Discount Stores | USA,2.43%,1.71%,Ok,0.61%
HD,Consumer Cyclical | Home Improvement Retail | USA,-1.03%,-1.07%,Ok,-7.06%
MDT,Healthcare | Medical Devices | Ireland,1.06%,5.14%,Ok,0.81%
HUN,Basic Materials | Chemicals | USA,-3.54%,2.41%,Good,-5.94%
TRN,Industrials | Railroads | USA,1.68%,-0.81%,Bad,-8.10%
ARNC,Industrials | Metal Fabrication | USA,2.10%,6.14%,Bad,-8.17%
TAP,Consumer Defensive | Beverages - Brewers | USA,-0.03%,0.78%,Bad,3.13%
IR,Industrials | Specialty Industrial Machinery | USA,1.95%,4.86%,Ok,-2.08%
HSBC,Financial | Banks - Diversified | United Kingdom,1.33%,9.61%,Bad,4.55%
DAN,Consumer Cyclical | Auto Parts | USA,4.06%,11.36%,0.632,-17.61%
WLK,Basic Materials | Specialty Chemicals | USA,1.21%,8.91%,Ok,-6.44%
FLR,Industrials | Engineering Construction | USA,0.82%,4.25%,0.528,-0.19%
PEG,Utilities | Utilities - Regulated Electric | USA,1.91%,1.71%,Ok,-1.74%
LPX,Industrials | Building Products Equipment | USA,-3.40%,1.03%,Ok,-12.45%
EXPD,Industrials | Integrated Freight Logistics | USA,0.01%,1.88%,Perfect,-5.57%
NPO,Industrials | Specialty Industrial Machinery | USA,2.26%,5.16%,Perfect,-9.66%
CEQP,Energy | Oil Gas Midstream | USA,-2.63%,-3.57%,Bad,-1.69%
ESPR,Healthcare | Drug Manufacturers - Specialty Generic | USA,-3.54%,-5.21%,Bad,-5.57%
BCRX,Healthcare | Biotechnology | USA,-2.71%,-4.74%,Bad,-15.29%
ELAN,Healthcare | Drug Manufacturers - Specialty Generic | USA,-2.78%,1.95%,Perfect,-11.50%
LECO,Industrials | Tools Accessories | USA,4.87%,12.79%,Good,-7.35%
MIDD,Industrials | Specialty Industrial Machinery | USA,0.47%,7.03%,Bad,-0.75%
AWI,Industrials | Building Products Equipment | USA,3.40%,9.71%,Bad,-4.14%
JBT,Industrials | Specialty Industrial Machinery | USA,3.62%,13.20%,Ok,-5.46%
WD,Financial | Mortgage Finance | USA,-2.29%,5.62%,Bad,-6.27%
HRMY,Healthcare | Biotechnology | USA,1.38%,-5.26%,Perfect,-11.08%
ETRN,Energy | Oil Gas Midstream | USA,-6.83%,-6.97%,0.482,-6.01%
OLK,Healthcare | Diagnostics Research | Sweden,7.44%,0.90%,0.55,1.40%
LGIH,Consumer Cyclical | Residential Construction | USA,-0.45%,8.37%,Ok,-8.43%
TPH,Consumer Cyclical | Residential Construction | USA,0.84%,9.32%,Perfect,3.68%
DRH,Real Estate | REIT - Hotel Motel | USA,-6.56%,-0.37%,0.493,0.11%
DFIN,Financial | Capital Markets | USA,5.33%,17.70%,Bad,-20.66%
AVNS,Healthcare | Medical Devices | USA,-1.68%,5.19%,Ok,-3.14%
NXRT,Real Estate | REIT - Residential | USA,-1.98%,5.01%,0.345,2.30%
SPNS,Technology | Software - Application | Israel,-3.69%,5.87%,Ok,-5.35%
JELD,Industrials | Building Products Equipment | USA,1.63%,14.05%,Bad,1.17%
BRSP,Real Estate | REIT - Diversified | USA,-1.67%,4.00%,Ok,-3.68%
SOHU,Communication Services | Electronic Gaming Multimedia | China,-2.49%,2.88%,0.116,-2.64%
TCMD,Healthcare | Medical Devices | USA,9.82%,15.28%,Perfect,-7.56%
VNTR,Basic Materials | Specialty Chemicals | United Kingdom,5.85%,11.68%,-2.714,-6.48%
