Symbol,Sector,SM20,SM50,EPS TR,Price Change
IQ,Communication Services | Entertainment | China,4.40%,26.33%,0.653,1.10%
BIDU,Communication Services | Internet Content Information | China,-2.27%,7.46%,Perfect,-2.63%
TJX,Consumer Cyclical | Apparel Retail | USA,-2.50%,-1.67%,Ok,-1.73%
EDIT,Healthcare | Biotechnology | USA,-8.31%,-2.33%,Bad,6.21%
WIX,Technology | Software - Infrastructure | Israel,-8.22%,-2.62%,Bad,12.40%
SHEN,Communication Services | Telecom Services | USA,-1.80%,4.69%,0.154,5.51%
GRMN,Technology | Scientific Technical Instruments | Switzerland,-4.51%,-2.34%,Ok,4.09%
DOC,Real Estate | REIT - Healthcare Facilities | USA,-2.13%,0.98%,0.491,-2.94%
OSTK,Consumer Cyclical | Internet Retail | USA,-7.21%,-1.33%,Bad,-2.52%
PGTI,Industrials | Building Products Equipment | USA,-4.32%,4.59%,Good,-0.91%
IONS,Healthcare | Biotechnology | USA,-3.61%,-2.04%,0.098,-3.74%
WING,Consumer Cyclical | Restaurants | USA,2.96%,8.92%,Ok,7.70%
CRMT,Consumer Cyclical | Auto Truck Dealerships | USA,-1.38%,10.81%,Bad,-10.90%
TRGP,Energy | Oil Gas Midstream | USA,-2.46%,-0.24%,Bad,3.10%
HEES,Industrials | Rental Leasing Services | USA,-1.57%,4.06%,Perfect,-0.50%
SSRM,Basic Materials | Gold | USA,-14.04%,-14.42%,Good,-0.44%
RGEN,Healthcare | Medical Instruments Supplies | USA,-6.24%,-0.13%,Perfect,-4.51%
NI,Utilities | Utilities - Regulated Gas | USA,-1.08%,-1.74%,Ok,2.45%
EVBG,Technology | Software - Application | USA,3.95%,10.35%,0.291,-0.85%
BRY,Energy | Oil Gas E P | USA,-3.95%,3.56%,Ok,9.42%
CRL,Healthcare | Diagnostics Research | USA,-2.25%,4.63%,Ok,-10.06%
UTHR,Healthcare | Biotechnology | USA,-0.78%,-4.05%,Ok,-4.51%
ALLE,Industrials | Security Protection Services | Ireland,-2.52%,2.25%,Ok,-1.63%
VRT,Industrials | Electrical Equipment Parts | USA,1.61%,7.08%,0.674,1.70%
GIL,Consumer Cyclical | Apparel Manufacturing | Canada,-4.90%,-1.90%,Perfect,5.41%
CERE,Healthcare | Biotechnology | USA,-7.35%,-1.53%,Ok,-13.77%
DRVN,Consumer Cyclical | Auto Truck Dealerships | USA,-2.76%,-0.49%,Good,-0.68%
IART,Healthcare | Medical Devices | USA,-2.21%,-0.73%,Ok,-1.16%
TNL,Consumer Cyclical | Travel Services | USA,-4.52%,2.55%,Ok,1.08%
IBP,Consumer Cyclical | Residential Construction | USA,-5.31%,5.09%,Good,7.33%
AVA,Utilities | Utilities - Diversified | USA,0.11%,-3.26%,Bad,2.68%
LIVN,Healthcare | Medical Devices | United Kingdom,-2.05%,-1.69%,Ok,-10.92%
BCO,Industrials | Security Protection Services | USA,-3.20%,3.08%,Good,12.57%
THRM,Consumer Cyclical | Auto Parts | USA,-3.45%,-0.17%,Good,-6.85%
SHO,Real Estate | REIT - Hotel Motel | USA,-5.40%,-0.75%,Perfect,3.65%
CSTM,Basic Materials | Aluminum | France,-4.26%,4.90%,Perfect,13.50%
ROCK,Industrials | Building Products Equipment | USA,-3.17%,4.90%,Ok,0.40%
FVRR,Communication Services | Internet Content Information | Israel,-4.88%,9.92%,Ok,18.85%
WWW,Consumer Cyclical | Footwear Accessories | USA,-2.01%,16.53%,Bad,6.32%
PRG,Industrials | Rental Leasing Services | USA,0.67%,14.08%,Bad,9.08%
OSW,Consumer Cyclical | Leisure | Bahamas,0.10%,4.55%,0.077,-0.37%
SMP,Consumer Cyclical | Auto Parts | USA,-0.64%,6.01%,Ok,2.21%
ECC,Financial | Closed-End Fund - Debt | USA,-0.21%,1.68%,Bad,2.22%
DSX,Industrials | Marine Shipping | Greece,3.86%,8.81%,Ok,8.61%
KLTR,Technology | Software - Infrastructure | USA,-2.26%,4.52%,Ok,-1.99%
