Symbol,Sector,SM20,SM50,EPS TR,Price Change
BABA,Consumer Cyclical | Internet Retail | China,-12.54%,-7.97%,Perfect,-0.65%
BHC,Healthcare | Drug Manufacturers - Specialty Generic | Canada,7.02%,14.31%,Bad,14.00%
PCG,Utilities | Utilities - Regulated Electric | USA,-1.05%,-1.92%,Ok,-1.55%
IRM,Real Estate | REIT - Specialty | USA,-5.98%,-3.60%,0.545,4.23%
RCII,Industrials | Rental Leasing Services | USA,-1.56%,7.39%,Bad,-1.07%
AEP,Utilities | Utilities - Regulated Electric | USA,-1.28%,-3.47%,Ok,-0.12%
GNL,Real Estate | REIT - Diversified | USA,-4.20%,0.80%,0.0,3.08%
AMT,Real Estate | REIT - Specialty | USA,-8.59%,-8.53%,0.681,1.34%
MPW,Real Estate | REIT - Healthcare Facilities | USA,-3.37%,-0.74%,Good,-8.69%
PLNT,Consumer Cyclical | Leisure | USA,-3.36%,-1.31%,Ok,5.28%
VCEL,Healthcare | Biotechnology | USA,-2.02%,5.56%,Perfect,7.29%
NEO,Healthcare | Diagnostics Research | USA,8.11%,19.06%,Bad,24.57%
PLYM,Real Estate | REIT - Industrial | USA,-4.28%,0.97%,-0.449,4.79%
CWEN,Utilities | Utilities - Renewable | USA,-3.46%,-2.95%,-7.018,-2.78%
NEM,Basic Materials | Gold | USA,-11.22%,-10.93%,Bad,0.07%
LNG,Energy | Oil Gas Midstream | USA,-0.97%,-2.39%,Perfect,9.44%
DPZ,Consumer Cyclical | Restaurants | USA,-1.61%,-0.96%,Bad,-11.65%
VIPS,Consumer Cyclical | Internet Retail | China,-8.53%,-6.07%,Good,0.37%
W,Consumer Cyclical | Internet Retail | USA,-14.61%,7.63%,Ok,-23.05%
NTES,Communication Services | Electronic Gaming Multimedia | China,-3.07%,4.75%,Perfect,-3.67%
NICE,Technology | Software - Application | Israel,-0.90%,4.92%,Bad,-2.55%
YETI,Consumer Cyclical | Leisure | USA,-9.03%,-7.81%,Ok,-1.08%
KDP,Consumer Defensive | Beverages - Non-Alcoholic | USA,1.56%,0.07%,Ok,0.92%
AG,Basic Materials | Silver | Canada,-8.81%,-15.49%,-0.733,-2.30%
DISH,Communication Services | Telecom Services | USA,-8.39%,-9.48%,Ok,5.20%
AAWW,Industrials | Airports Air Services | USA,-0.27%,0.33%,Bad,-0.04%
DTE,Utilities | Utilities - Regulated Electric | USA,-0.94%,-2.91%,Ok,-0.43%
GPC,Consumer Cyclical | Specialty Retail | USA,1.60%,0.90%,Ok,3.36%
RWLK,Healthcare | Medical Devices | Israel,-5.51%,-3.53%,Perfect,-2.98%
MFA,Real Estate | REIT - Mortgage | USA,-6.95%,-3.62%,-1.137,2.63%
PZZA,Consumer Cyclical | Restaurants | USA,1.08%,6.65%,Bad,-6.11%
MRNA,Healthcare | Biotechnology | USA,-10.03%,-13.98%,Perfect,-6.70%
NTLA,Healthcare | Biotechnology | USA,-5.70%,1.15%,Perfect,0.08%
ALNY,Healthcare | Biotechnology | USA,-9.93%,-12.10%,Perfect,-2.42%
CBRE,Real Estate | Real Estate Services | USA,-0.51%,4.46%,Good,1.06%
LKQ,Consumer Cyclical | Auto Parts | USA,-1.20%,1.63%,Ok,-0.72%
CIO,Real Estate | REIT - Office | USA,-7.76%,-3.65%,Perfect,-0.23%
NVCR,Healthcare | Medical Instruments Supplies | USA,-7.95%,-3.86%,Ok,-4.54%
