Symbol,Sector,SM20,SM50,EPS TR,Price Change
UNIT,Real Estate | REIT - Specialty | USA,-7.33%,-4.13%,-0.056,-2.61%
GTN,Communication Services | Broadcasting | USA,1.92%,7.71%,Ok,-4.16%
CM,Financial | Banks - Diversified | Canada,-1.04%,4.29%,Ok,2.14%
SLCA,Energy | Oil Gas Equipment Services | USA,-7.55%,-8.18%,Perfect,11.94%
IEP,Industrials | Conglomerates | USA,-0.05%,2.58%,-2.618,0.33%
ACMR,Technology | Semiconductor Equipment Materials | USA,-7.10%,9.22%,Perfect,-0.60%
HEP,Energy | Oil Gas Midstream | USA,-2.86%,-1.95%,Bad,0.16%
SSP,Communication Services | Broadcasting | USA,-1.54%,3.48%,Bad,-13.48%
DINO,Energy | Oil Gas Refining Marketing | USA,-2.37%,0.94%,Perfect,-5.61%
FYBR,Communication Services | Telecom Services | USA,-3.62%,2.27%,Perfect,-6.07%
GTLS,Industrials | Specialty Industrial Machinery | USA,-1.53%,4.38%,Ok,6.07%
BCPC,Basic Materials | Specialty Chemicals | USA,-1.47%,3.15%,Ok,-0.87%
PNM,Utilities | Utilities - Regulated Electric | USA,0.03%,0.27%,Good,0.04%
CRI,Consumer Cyclical | Apparel Retail | USA,-7.65%,-5.28%,Ok,0.14%
BRC,Industrials | Security Protection Services | USA,-1.18%,5.05%,Ok,3.37%
DBRG,Real Estate | Real Estate Services | USA,-4.11%,8.02%,-9.077,-11.20%
NWN,Utilities | Utilities - Regulated Gas | USA,-2.73%,-1.18%,Ok,-1.18%
CNK,Communication Services | Entertainment | USA,8.14%,20.47%,Bad,1.38%
TBLA,Communication Services | Internet Content Information | USA,2.27%,19.45%,-0.042,-19.12%
TPB,Consumer Defensive | Tobacco | USA,-4.58%,-0.46%,Perfect,10.96%
FMX,Consumer Defensive | Beverages - Brewers | Mexico,8.03%,12.90%,Bad,-1.03%
