Symbol,Sector,SM20,SM50,EPS TR,Price Change,,
ANF,Consumer Cyclical | Apparel Retail | USA,-1.04%,-7.36%,0.243,31.07%,Technology: 59%,
KSS,Consumer Cyclical | Department Stores | USA,-5.99%,-12.24%,-0.123,7.52%,Health: 30%,
SCVL,Consumer Cyclical | Apparel Retail | USA,-4.70%,-9.83%,Ok,-6.30%,Consumer Cyclical: 42%,
BMO,Financial | Banks - Diversified | Canada,-1.30%,-1.60%,Ok,-4.60%,Consumer Defensive: 41%,
PLCE,Consumer Cyclical | Apparel Retail | USA,-11.62%,-27.68%,-0.178,-21.38%,Basic Materials: 31%,
BNS,Financial | Banks - Diversified | Canada,-0.31%,-0.65%,Ok,-1.83%,Industrials: 51%,
ADI,Technology | Semiconductors | USA,2.45%,0.78%,Ok,-7.83%,Real Estate: 33%,
EXPR,Consumer Cyclical | Apparel Retail | USA,-0.51%,0.33%,Ok,-17.61%,Communication Services: 50%,
NM,Industrials | Marine Shipping | Cayman Islands,-2.76%,-4.51%,,5.11%,Financial: 46%,
CRMT,Consumer Cyclical | Auto Truck Dealerships | USA,8.18%,11.94%,Bad,-7.40%,Energy: 26%,
PLAB,Technology | Semiconductor Equipment Materials | USA,12.41%,9.61%,Good,6.68%,Utilities: 10%,
DY,Industrials | Engineering Construction | USA,5.98%,6.94%,Perfect,-3.33%,,
ITRN,Technology | Communication Equipment | Israel,7.05%,5.62%,Bad,4.17%,,
XPEV,Consumer Cyclical | Auto Manufacturers | China,-6.60%,-7.23%,,-5.05%,,
BZ,Industrials | Staffing Employment Services | China,-5.67%,-6.63%,Perfect,-9.29%,,
FUTU,Financial | Capital Markets | Hong Kong,-8.01%,-15.22%,,1.29%,,
WOOF,Consumer Cyclical | Specialty Retail | USA,1.29%,6.74%,Bad,-18.17%,,
SGHC,Consumer Cyclical | Gambling | United Kingdom,-2.60%,-4.94%,Bad,-3.11%,,
LPG,Energy | Oil Gas Midstream | USA,10.10%,15.92%,,-2.22%,,
PGRU,Communication Services | Internet Content Information | Singapore,-4.77%,-7.34%,,3.94%,,
EXAI,Healthcare | Biotechnology | United Kingdom,41.21%,35.88%,,6.04%,,
ZH,Communication Services | Internet Content Information | China,-1.34%,-10.90%,Bad,3.92%,,
KMDA,Healthcare | Drug Manufacturers - Specialty Generic | Israel,-1.46%,1.51%,Perfect,15.38%,,
GCT,Technology | Software - Infrastructure | China,6.98%,3.72%,,26.50%,,
GASS,Industrials | Marine Shipping | Greece,7.58%,9.49%,,4.36%,,
BLRX,Healthcare | Biotechnology | Israel,15.76%,42.02%,Bad,4.00%,,
RMCF,Consumer Defensive | Confectioners | USA,7.17%,9.83%,,-2.74%,,
CLGN,Healthcare | Biotechnology | Israel,3.78%,-0.92%,Perfect,5.69%,,
