Symbol,Sector,SM20,SM50,EPS TR,Price Change
BBY,Consumer Cyclical | Specialty Retail | USA,-4.34%,-6.41%,Good,3.08%
MDT,Healthcare | Medical Devices | Ireland,-2.36%,3.59%,Ok,-4.51%
WB,Communication Services | Internet Content Information | China,-3.06%,-6.92%,Good,-4.67%
DLTR,Consumer Defensive | Discount Stores | USA,-0.44%,3.88%,Ok,-12.03%
BURL,Consumer Cyclical | Apparel Retail | USA,-6.54%,-12.55%,Ok,-3.80%
TITN,Industrials | Industrial Distribution | USA,6.44%,10.94%,Perfect,-18.56%
BZUN,Consumer Cyclical | Internet Retail | China,-5.51%,-13.75%,-5.267,-9.65%
TD,Financial | Banks - Diversified | Canada,-1.82%,-0.44%,Ok,-4.39%
RL,Consumer Cyclical | Apparel Manufacturing | USA,-3.06%,-4.78%,Good,5.34%
RY,Financial | Banks - Diversified | Canada,-5.50%,-5.54%,Ok,-2.20%
NTES,Communication Services | Electronic Gaming Multimedia | China,-5.26%,-5.63%,Good,2.68%
CM,Financial | Banks - Diversified | Canada,-1.33%,-2.38%,Ok,1.76%
MOV,Consumer Cyclical | Luxury Goods | USA,2.14%,-3.84%,,-1.16%
AMWD,"Consumer Cyclical | Furnishings, Fixtures Appliances | USA",4.82%,5.71%,Good,8.67%
CMCO,Industrials | Farm Heavy Construction Machinery | USA,2.38%,1.60%,Ok,2.18%
GCO,Consumer Cyclical | Apparel Retail | USA,-6.06%,-13.50%,Perfect,-32.18%
HLNE,Financial | Asset Management | USA,-2.23%,-4.92%,Good,-1.11%
CSWI,Industrials | Specialty Industrial Machinery | USA,-1.38%,-1.92%,,5.20%
GDS,Technology | Information Technology Services | China,-19.39%,-33.60%,Bad,-0.78%
MLAB,Technology | Scientific Technical Instruments | USA,-10.92%,-14.00%,Good,-1.97%
THR,Industrials | Specialty Industrial Machinery | USA,7.66%,0.75%,Perfect,-1.74%
DAO,Consumer Defensive | Education Training Services | China,-15.46%,-27.98%,,-14.52%
REX,Basic Materials | Specialty Chemicals | USA,8.46%,7.78%,Good,12.45%
HEPS,Consumer Cyclical | Internet Retail | Turkey,0.98%,-2.89%,,0.00%
BBW,Consumer Cyclical | Specialty Retail | USA,-4.38%,-9.10%,Good,-1.87%
DXLG,Consumer Cyclical | Apparel Retail | USA,-12.81%,-21.89%,,4.99%
MIXT,Technology | Software - Application | USA,-2.56%,-6.87%,Bad,-0.41%
SHIP,Industrials | Marine Shipping | Greece,-6.28%,-10.16%,,-8.02%
SOTK,Technology | Scientific Technical Instruments | USA,5.04%,6.79%,,-6.25%
STG,Consumer Defensive | Education Training Services | China,-24.72%,-41.12%,,0.22%
LIZI,Communication Services | Internet Content Information | China,2.50%,-0.54%,,17.14%
